NAME,CAPACITY,REGION,LOCATION,LAT,LON
Seoul World Cup Stadium,66704,Asia,Seoul-KR,37.56827885513662, 126.8972555450256
US Bank Stadium,66655,North America,Minneapolis-US,44.97360056045061, -93.25764470373306
Daegu Stadium,66422,Asia,Daegu-KR,35.82979530598492, 128.69018154230793
Worker's Stadium,66161,Asia,Beijing-CN,39.929578936932145, 116.44114208631267
London Stadium,66000,Europe,London-UK,51.538674499999225, -0.016438242349051283
Raymond James Stadium,65847,North America,Tampa-US,27.975869834389837, -82.50334098350257
Hard Rock Stadium,65326,North America,Miami Gardens-US,25.957969081463467, -80.2388683391761
Olympic Stadium,65255,North America,Montreal-CA,45.557856483254426, -73.55164435955726
Basra International Staidum,65227,Asia,Basra-IQ,30.4398116999705, 47.77982267113869
Camping World Stadium,65000,North America,Orlando-US,28.539028625198863, -81.40281687303833
Alamodome,65000,North America,San Antonio-US,29.416983399998013, -98.47886794420289
Ford Field,65000,North America,Detroit-US,42.33999846966384, -83.04564591536312
Stade Ibn Battuta,65000,Africa,Tangier-MA,35.74119554104711, -5.858063828861951
Estádio do Sport Lisboa e Benfica,64642,Europe,Lisbon-PT,38.7526968309463, -9.184675617285691
Stade du 5-juillet-1962,64000,Africa,Algiers-DZ,36.75984769541536, 2.9951826288166807
Castelão,63903,South America,Fortaleza-BR,-3.807320288034256, -38.52242730315555
